,0
pax,416
pracy,164
stowarzyszenia,120
,
,
,
kraju,65
partii,62
,
człowieka,61
,
polsce,58
,
praca,53
kościoła,49
stowarzyszenie,48
,
polski,46
,
społeczeństwa,44
,
,
,
zarządu,39
znak,39
,
narodu,38
,
katolików,38
,
,
,
,
,
,
,
,33
działaczy,33
centrala,33
państwa,32
,
,
państwo,31
,
ludzi,30
księży,29
socjalizmu,29
warszawie,28
,
kultury,27
związku,27
,
,
,
,
polityki,26
produkcji,26
,
,
inteligencji,25
warszawa,25
kościół,25
,
chss,25
ipn,25
,
,
,
,
,
,
,
,
wydziału,23
,
,
fundusz,23
prl,22
,
zzg,22
,
,
,
organizacji,22
boga,22
,
,
partia,21
kierownictwo,21
,
,
,
historii,21
,
,
,
,
,
,
naczelnik,20
,
,
,
,
pzpr,19
,
,
piasecki,19
władze,18
młodzieży,17
episkopatu,17
departamentu,16
par,16
wyznań,15
prasy,15
kik,15
episkopat,15
katolicy,15
stowarzyszeń,14
socjalizm,14
msw,14
zsrr,14
sekretariatu,14
hierarchii,14
budżetu,14
wydział,13
xxx,13
politykę,13
patriotyzm,13
przewodniczący,13
zachodzie,13
ministerstwa,12
duchowieństwem,12
państw,11
przemysł,11
działacze,11
więź,11
świata,11
kleru,11
klubu,11
partię,11
władza,10
propagandy,10
centrali,10
rząd,10
departament,10
przedsiębiorstwa,10
duchowieństwa,10
tygodnika,10
siły,10
ustroju,9
ideologii,9
tygodnik,9
urząd,9
klubów,9
krajach,9
zebrań,9
poznań,9
bóg,9
produkcja,9
wydawnictw,9
budżetów,9
konfederacji,9
kryzys,8
stowarzyszeniu,8
oddziały,8
watykan,8
warszawy,8
działal,8
gospodarki,8
świat,8
ministerstwo,8
chs,8
klub,8
religii,8
nagród,8
świadomość,8
władzą,8
katowicach,8
chrześcijan,8
kościele,7
europy,7
bliźniego,7
sojuszu,7
pak,7
duchowieństwo,7
christiana,7
toruniu,7
rządu,6
katolicyzmu,6
naukę,6
gierka,6
folsce,6
biskupów,6
watykanu,6
rolnictwa,6
kościołem,6
bednarczyk,6
chz,6
sobór,6
watykanie,6
zorza,6
polaków,6
rfn,5
kraj,5
toruń,5
sekretarza,5
królestwa,5
kardynała,5
usług,5
patriotyzmu,5
inspiracji,5
cechy,5
przekształcenia,5
konstytucji,5
kul,5
państwem,5
kurii,5
księżom,5
stefanowicz,5
cywilizacja,5
krakowie,5
państwie,5
polaka,5
boże,5
wladze,5
społeczeństwem,5
stylu,5
