	x	y	w	h
0	0	0	82	194
1	242	0	174	23
2	269	166	162	59
3	0	195	78	114
4	2595	213	1100	133
5	255	245	163	73
6	3706	283	312	175
7	3760	469	147	18
8	3740	502	144	21
9	1367	680	1318	90
10	696	879	2297	103
11	696	1267	1070	94
12	697	1461	2184	88
13	702	1635	1169	87
14	2387	1750	136	17
15	701	1769	558	76
16	703	1891	1122	81
17	716	2052	2169	92
18	85	2061	269	124
19	706	2229	959	78
20	705	2345	1232	86
21	705	2469	2042	92
22	706	2596	2099	91
23	705	2730	1632	89
24	816	2846	3161	99
25	815	2970	2447	95
26	919	3173	2532	100
27	719	3354	1404	92
28	859	3481	1892	91
29	0	3509	78	304
30	89	3638	274	116
31	717	3655	1252	84
32	865	3767	3164	101
33	0	3836	85	2059
34	217	3852	98	17
35	975	3887	3112	104
36	974	4010	3047	103
37	971	4157	800	81
38	715	4317	1054	89
39	869	4435	2028	97
40	723	4615	1302	82
41	870	4730	3065	93
42	983	4881	334	68
43	727	5039	1662	82
44	873	5143	3216	108
45	984	5284	2941	101
46	986	5419	2069	91
47	3348	5638	348	54
48	3972	5861	155	34
